Date,Day,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
24/10/2014,Fr,15.2,30.6,0,2,9.2,N,46,8:49,18.3,75,5,NNE,9,1011.9,28.1,40,5,NNW,22,1009.8
25/10/2014,Sa,14.6,20.3,0,7.4,5.6,SSW,33,14:34,15.5,69,,S,11,1017.4,19.7,54,,SSE,15,1014.9
26/10/2014,Su,13.9,24.6,0,4.8,7.2,N,52,21:56,14.5,70,,SSW,11,1014.2,20.6,48,,SW,7,1012.1
27/10/2014,Mo,13.8,20,25.6,9.4,7.7,WSW,70,13:37,13.9,93,7,WSW,20,1005.1,17,51,6,WSW,46,1008.4
28/10/2014,Tu,11.5,20.5,3.6,6.6,7.4,W,56,14:50,14.6,57,7,NW,22,1011.4,19.5,44,7,WSW,31,1012.7
29/10/2014,We,10.9,23.2,0.6,4.4,8.3,S,37,17:52,13.7,62,7,WNW,9,1018.9,21.4,37,1,SW,9,1015.1
30/10/2014,Th,13.7,22.3,0,4,10.2,SSE,35,13:10,16.1,59,7,WSW,13,1015.7,21.8,39,3,SSE,22,1012.8
31/10/2014,Fr,10.8,32.9,0.2,6.4,8.8,SW,63,22:34,15.2,67,7,N,24,1009.5,30.4,15,3,N,37,1002.5
1/9/2014,Mo,15,15.4,0,8.2,0,N,70,3:28,15.2,45,7,N,35,1008.8,12.4,81,8,W,11,1008.6
2/9/2014,Tu,9.1,16.4,10.4,2.2,9.2,SSW,54,12:07,11.6,73,6,WSW,24,1017.9,13.9,49,6,S,37,1019.7
3/9/2014,We,7.8,15.4,0.4,1.6,4,SSE,31,10:56,11.8,56,7,SW,13,1023.4,14.7,45,6,S,15,1020.5
4/9/2014,Th,5.7,16.4,0,1.8,7.7,S,30,14:43,9,72,7,WSW,9,1021.1,15.5,54,6,S,19,1019.4
5/9/2014,Fr,5,16.9,0,1.8,9.1,S,26,13:13,7.8,87,8,SSW,13,1026.5,16.1,53,1,S,13,1024.9
6/9/2014,Sa,6.3,19.4,0,2.4,8.6,S,30,14:50,10,87,,N,9,1030.9,18.2,53,,SSE,24,1027.5
7/9/2014,Su,6.6,21.2,0,3.4,11.1,N,48,10:21,11.5,65,,N,22,1029.8,20.7,34,,N,26,1025.1
8/9/2014,Mo,10.8,21.2,0,5.2,7.8,N,93,22:29,16,53,4,N,41,1021.7,20.7,38,6,NNE,41,1014.6
9/9/2014,Tu,15.6,20.4,0,10,5.1,N,83,6:34,16.2,67,5,N,57,1005,19,59,7,NW,19,1002
10/9/2014,We,11.4,19.7,2,4,8.1,WNW,50,12:27,14.3,53,2,W,26,1010.9,18.5,35,7,WNW,26,1010.5
11/9/2014,Th,11.5,17.4,3,4.2,5,WSW,54,7:07,12.8,69,5,W,22,1016.3,14.8,50,7,SW,22,1018.1
